Probe_ID,Probe_IPv4_Address,Country_Code,ASN_v4
1,45.138.229.91,NL,206238
3,77.174.76.85,NL,1136
7,83.86.189.152,NL,33915
8,83.81.83.145,NL,33915
14,80.117.207.203,IT,3269
20,77.174.30.45,NL,1136
26,87.195.139.46,NL,12414
28,24.253.79.119,US,22773
32,76.82.152.84,US,20001
37,2.57.252.147,NL,213279
39,90.89.103.6,FR,3215
40,85.225.8.201,SE,2119
43,77.95.64.208,FR,199422
45,82.65.164.206,FR,12322
55,81.187.145.168,GB,20712
81,109.90.168.210,DE,3209
86,73.254.0.132,US,7922
92,213.136.0.6,NL,12859
95,212.159.71.10,GB,6871
103,73.192.147.189,US,7922
114,192.108.131.3,SK,2607
116,87.104.43.138,DK,44869
121,37.202.61.224,NO,50304
122,195.113.147.190,CZ,2852
125,70.95.176.202,US,20001
126,193.29.220.38,UA,29067
127,89.101.70.74,IE,6830
138,87.238.56.246,NO,39029
141,195.170.160.30,CH,59824
144,212.25.179.151,IT,12637
148,93.190.128.179,CZ,6881
157,5.133.42.106,GB,199468
169,85.30.131.56,SE,34244
176,77.236.64.30,RU,41034
194,45.80.169.238,NL,206238
197,109.210.115.213,FR,3215
200,185.78.49.96,IT,201333
202,68.212.31.25,US,7018
203,202.63.65.119,AU,38195
209,212.159.52.129,GB,6871
212,59.167.217.120,AU,4739
218,147.230.16.42,CZ,2852
243,152.171.213.230,AR,7303
249,193.206.159.234,IT,137
258,87.95.115.57,FI,16086
273,91.203.72.35,GB,34555
285,83.191.164.214,SE,1257
289,31.43.111.217,UA,56433
298,213.32.246.14,DK,203953
301,45.114.232.0,NC,136402
307,73.162.189.13,US,7922
329,202.128.5.150,GU,3605
334,88.20.218.75,ES,3352
341,213.0.69.132,ES,3352
345,192.159.10.192,US,1734
348,89.106.208.240,AT,39837
357,81.16.152.170,AT,1764
363,79.97.114.234,IE,6830
371,81.187.165.197,GB,20712
373,83.253.239.24,SE,1257
376,93.42.96.14,IT,12874
378,193.183.105.246,SE,57131
385,182.71.53.98,IN,9498
396,194.117.244.174,FR,30781
410,31.209.59.81,SE,29518
417,217.18.40.10,ES,15954
422,212.30.70.86,SI,5603
429,31.187.194.210,NL,50266
430,217.146.112.1,GB,16353
434,92.240.65.61,LV,5538
438,94.210.131.185,NL,33915
439,78.192.47.118,FR,12322
452,82.197.168.106,CH,13030
453,86.242.86.240,FR,3215
459,82.143.12.14,IT,29449
471,212.51.159.253,CH,13030
475,45.80.168.154,NL,206238
504,196.203.250.237,TN,2609
507,193.107.127.202,FR,50620
